"Day ","Items ","Note ","Amount "
"84","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 14196 ","-15450"
"84","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 14196 ","-53550"
"84","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 14196 ","-20140"
"84","Salary Expense","Cash Payment - Salary Expense","-30986"
"84","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 14012","-195"
"84","Retail","Revenue - Retail Sales New York - Sparkling Wine","17304"
"84","Retail","Revenue - Retail Sales New York - Red Wine","30690"
"84","Retail","Revenue - Retail Sales New York - White Wine","18849"
"84","Retail","Revenue - Retail Sales Detroit - Sparkling Wine","8456"
"84","Retail","Revenue - Retail Sales Detroit - Red Wine","16872"
"84","Retail","Revenue - Retail Sales Detroit - White Wine","10890"
"84","Retail","Revenue - Retail Sales Chicago - Sparkling Wine","7020"
"84","Retail","Revenue - Retail Sales Chicago - Red Wine","7150"
"84","Retail","Revenue - Retail Sales Chicago - White Wine","7650"
"84","Retail","Revenue - Retail Sales Miami - Sparkling Wine","3036"
"84","Retail","Revenue - Retail Sales Miami - Red Wine","3825"
"84","Retail","Revenue - Retail Sales Miami - White Wine","3969"
"84","Rental Expense","Cash Payment - Rental - New York","-4020"
"84","Rental Expense","Cash Payment - Rental - Washington, D.C.","-4800"
"84","Rental Expense","Cash Payment - Rental - Detroit","-1500"
"84","Rental Expense","Cash Payment - Rental - Chicago","-2220"
"84","Rental Expense","Cash Payment - Rental - Miami","-1120"
"83","Sales E Commerce","Revenue - ECM SO ID: 12657","26275"
"83","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 13603 ","-58328"
"83","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 13603 ","-51510"
"83","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 13603 ","-73882"
"83","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 13825 ","-45450"
"83","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 13825 ","-51510"
"83","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 13825 ","-57570"
"83","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 14024 ","-122976"
"83","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 14024 ","-144144"
"83","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 14024 ","-519120"
"83","Salary Expense","Cash Payment - Salary Expense","-30986"
"83","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 13798","-176"
"83","Retail","Revenue - Retail Sales New York - Sparkling Wine","17864"
"83","Retail","Revenue - Retail Sales New York - Red Wine","32488"
"83","Retail","Revenue - Retail Sales New York - White Wine","18239"
"83","Retail","Revenue - Retail Sales Detroit - Sparkling Wine","8792"
"83","Retail","Revenue - Retail Sales Detroit - Red Wine","16473"
"83","Retail","Revenue - Retail Sales Detroit - White Wine","11550"
"83","Retail","Revenue - Retail Sales Chicago - Sparkling Wine","6480"
"83","Retail","Revenue - Retail Sales Chicago - Red Wine","7550"
"83","Retail","Revenue - Retail Sales Chicago - White Wine","8262"
"83","Retail","Revenue - Retail Sales Miami - Sparkling Wine","3080"
"83","Retail","Revenue - Retail Sales Miami - Red Wine","3510"
"83","Retail","Revenue - Retail Sales Miami - White Wine","3969"
"83","Rental Expense","Cash Payment - Rental - New York","-4020"
"83","Rental Expense","Cash Payment - Rental - Washington, D.C.","-4800"
"83","Rental Expense","Cash Payment - Rental - Detroit","-1500"
"83","Rental Expense","Cash Payment - Rental - Chicago","-2220"
"83","Rental Expense","Cash Payment - Rental - Miami","-1120"
"82","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 13645 ","-45450"
"82","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 13645 ","-66105"
"82","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 13645 ","-57570"
"82","Human Resource Expense","Counselled","-2000"
"82","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 13844 ","-108936"
"82","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 13844 ","-123461"
"82","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 13844 ","-137986"
"82","Human Resource Expense","Counselled","-2000"
"82","Salary Expense","Cash Payment - Salary Expense","-30918"
"82","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 13640","-122"
"82","Retail","Revenue - Retail Sales New York - Sparkling Wine","129864"
"82","Retail","Revenue - Retail Sales New York - Red Wine","217930"
"82","Retail","Revenue - Retail Sales New York - White Wine","120414"
"82","Retail","Revenue - Retail Sales Detroit - Sparkling Wine","58464"
"82","Retail","Revenue - Retail Sales Detroit - Red Wine","110694"
"82","Retail","Revenue - Retail Sales Detroit - White Wine","76175"
"82","Retail","Revenue - Retail Sales Chicago - Sparkling Wine","44775"
"82","Retail","Revenue - Retail Sales Chicago - Red Wine","53400"
"82","Retail","Revenue - Retail Sales Chicago - White Wine","58089"
"82","Retail","Revenue - Retail Sales Miami - Sparkling Wine","21340"
"82","Retail","Revenue - Retail Sales Miami - Red Wine","27225"
"82","Retail","Revenue - Retail Sales Miami - White Wine","25578"
"82","Rental Expense","Cash Payment - Rental - New York","-4020"
"82","Rental Expense","Cash Payment - Rental - Washington, D.C.","-4800"
"82","Rental Expense","Cash Payment - Rental - Detroit","-1500"
"82","Rental Expense","Cash Payment - Rental - Chicago","-2220"
"82","Rental Expense","Cash Payment - Rental - Miami","-1120"
"81","Sales E Commerce","Revenue - ECM SO ID: 12941","18009"
"81","Wholesales (B2B)","Revenue - B2B SO ID: 12306","644000"
"81","Penalty Expense","Cash Payment - Late penalty - B2B SO ID: 12306","-6000"
"81","Wholesales (B2B)","Revenue - B2B SO ID: 12751","223100"
"81","Wholesales (B2B)","Revenue - B2B SO ID: 12927","289800"
"81","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 13657 ","-45450"
"81","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 13657 ","-51510"
"81","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 13657 ","-57570"
"81","Salary Expense","Cash Payment - Salary Expense","-30563"
"81","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 13495","-317"
"81","Retail","Revenue - Retail Sales New York - Sparkling Wine","118832"
"81","Retail","Revenue - Retail Sales New York - Red Wine","199764"
"81","Retail","Revenue - Retail Sales New York - White Wine","119987"
"81","Retail","Revenue - Retail Sales Detroit - Sparkling Wine","60704"
